--- STDOUT ---
[2025-05-17 19:00:41.632759] [0x00001e08] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:00:41.632759] [0x00001e08] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:00:41.635751] [0x00000200] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:00:41.635751] [0x00000200] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:00:41.635751] [0x00000200] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:00:41.640738] [0x00001768] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:00:41.640738] [0x00001768] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:00:41.640738] [0x00001768] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:00:41.758929] [0x00001e3c] [trace]   Generating perimeters for layer 2 - Done
[2025-05-17 19:00:41.758929] [0x00001e3c] [trace]   Generating perimeters for layer 3
[2025-05-17 19:00:41.758929] [0x00001e3c] [trace]   Generating perimeters for layer 3, region 0
[2025-05-17 19:00:41.764914] [0x00001e3c] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:00:41.764914] [0x00001e3c] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:00:41.764914] [0x00001e3c] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:00:41.787392] [0x00000200] [trace]   Generating perimeters for layer 59 - Done
[2025-05-17 19:00:41.788390] [0x00000200] [trace]   Generating perimeters for layer 60
[2025-05-17 19:00:41.788390] [0x00000200] [trace]   Generating perimeters for layer 60, region 0
[2025-05-17 19:00:41.792379] [0x00001e08] [trace]   Generating perimeters for layer 88 - Done
[2025-05-17 19:00:41.792379] [0x00001e08] [trace]   Generating perimeters for layer 89
[2025-05-17 19:00:41.792379] [0x00001e08] [trace]   Generating perimeters for layer 89, region 0
[2025-05-17 19:00:41.799360] [0x00000200] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:00:41.799360] [0x00000200] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:00:41.799360] [0x00000200] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:00:41.802352] [0x00001e08] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:00:41.802352] [0x00001e08] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:00:41.802352] [0x00001e08] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:00:41.818309] [0x00001768] [trace]   Generating perimeters for layer 30 - Done
[2025-05-17 19:00:41.818309] [0x00001768] [trace]   Generating perimeters for layer 31
[2025-05-17 19:00:41.818309] [0x00001768] [trace]   Generating perimeters for layer 31, region 0
[2025-05-17 19:00:41.829280] [0x00001768] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:00:41.829280] [0x00001768] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:00:41.829280] [0x00001768] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:00:41.883159] [0x00001e3c] [trace]   Generating perimeters for layer 3 - Done
[2025-05-17 19:00:41.883159] [0x00001e3c] [trace]   Generating perimeters for layer 4
[2025-05-17 19:00:41.883159] [0x00001e3c] [trace]   Generating perimeters for layer 4, region 0
[2025-05-17 19:00:41.888146] [0x00001e3c] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:00:41.888146] [0x00001e3c] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:00:41.888146] [0x00001e3c] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:00:41.977906] [0x00001e08] [trace]   Generating perimeters for layer 89 - Done
[2025-05-17 19:00:41.977906] [0x00001e08] [trace]   Generating perimeters for layer 90
[2025-05-17 19:00:41.977906] [0x00001e08] [trace]   Generating perimeters for layer 90, region 0
[2025-05-17 19:00:41.981895] [0x00000200] [trace]   Generating perimeters for layer 60 - Done
[2025-05-17 19:00:41.981895] [0x00000200] [trace]   Generating perimeters for layer 61
[2025-05-17 19:00:41.981895] [0x00000200] [trace]   Generating perimeters for layer 61, region 0
[2025-05-17 19:00:41.987879] [0x00001e08] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:00:41.987879] [0x00001e08] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:00:41.987879] [0x00001e08] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:00:41.990871] [0x00000200] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:00:41.990871] [0x00000200] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:00:41.990871] [0x00000200] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:00:42.001842] [0x00001768] [trace]   Generating perimeters for layer 31 - Done
[2025-05-17 19:00:42.001842] [0x00001768] [trace]   Generating perimeters for layer 32
[2025-05-17 19:00:42.001842] [0x00001768] [trace]   Generating perimeters for layer 32, region 0
[2025-05-17 19:00:42.011815] [0x00001768] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:00:42.011815] [0x00001768] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:00:42.011815] [0x00001768] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:00:42.032382] [0x00001e3c] [trace]   Generating perimeters for layer 4 - Done
[2025-05-17 19:00:42.032382] [0x00001e3c] [trace]   Generating perimeters for layer 5
[2025-05-17 19:00:42.032382] [0x00001e3c] [trace]   Generating perimeters for layer 5, region 0
[2025-05-17 19:00:42.037368] [0x00001e3c] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:00:42.037368] [0x00001e3c] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:00:42.037368] [0x00001e3c] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:00:42.127128] [0x00000200] [trace]   Generating perimeters for layer 61 - Done
[2025-05-17 19:00:42.127128] [0x00000200] [trace]   Generating perimeters for layer 62
[2025-05-17 19:00:42.127128] [0x00000200] [trace]   Generating perimeters for layer 62, region 0
[2025-05-17 19:00:42.145080] [0x00001e08] [trace]   Generating perimeters for layer 90 - Done
