--- STDOUT ---
[2025-05-26 14:12:43.444237] [0x0000203c] [debug]   TriangleMesh::repair() started
[2025-05-26 14:12:43.748140] [0x0000203c] [debug]   TriangleMesh::repair() finished
[2025-05-26 14:12:44.004384] [0x0000203c] [debug]   BuildVolume bed_shape clasified as: Rectangle
[2025-05-26 14:12:44.019358] [0x0000203c] [info]    Starting the slicing process. WorkingSet: 42MB; PrivateBytes: 31MB; Pagefile(peak): 31MB(111MB)
10 => Processing triangulated mesh
[2025-05-26 14:12:44.019358] [0x0000203c] [info]    Slicing volumes... WorkingSet: 42MB; PrivateBytes: 31MB; Pagefile(peak): 31MB(111MB)
[2025-05-26 14:12:44.021361] [0x0000203c] [debug]   slice_mesh to polygons
[2025-05-26 14:12:47.432391] [0x0000203c] [debug]   Slicing volumes - removing top empty layers
[2025-05-26 14:12:47.432391] [0x0000203c] [debug]   Slicing volumes - make_slices in parallel - begin
[2025-05-26 14:12:47.475365] [0x0000203c] [debug]   Slicing volumes - make_slices in parallel - end
20 => Generating perimeters
[2025-05-26 14:12:50.713444] [0x0000203c] [info]    Generating perimeters... WorkingSet: 200MB; PrivateBytes: 206MB; Pagefile(peak): 206MB(326MB)
[2025-05-26 14:12:50.713444] [0x0000203c] [debug]   Generating extra perimeters for region 0 in parallel - start
[2025-05-26 14:12:58.553445] [0x0000203c] [debug]   Generating extra perimeters for region 0 in parallel - end
[2025-05-26 14:12:58.553445] [0x0000203c] [debug]   Generating perimeters in parallel - start
[2025-05-26 14:12:58.553445] [0x000024c8] [trace]   Generating perimeters for layer 206
[2025-05-26 14:12:58.553445] [0x00000f34] [trace]   Generating perimeters for layer 103
[2025-05-26 14:12:58.553445] [0x0000122c] [trace]   Generating perimeters for layer 309
[2025-05-26 14:12:58.553445] [0x00000f34] [trace]   Generating perimeters for layer 103, region 0
[2025-05-26 14:12:58.553445] [0x000024c8] [trace]   Generating perimeters for layer 206, region 0
[2025-05-26 14:12:58.553445] [0x0000203c] [trace]   Generating perimeters for layer 0
[2025-05-26 14:12:58.553445] [0x0000203c] [trace]   Generating perimeters for layer 0, region 0
[2025-05-26 14:12:58.553445] [0x0000122c] [trace]   Generating perimeters for layer 309, region 0
[2025-05-26 14:12:58.556370] [0x0000203c] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 533429, inner-wall width = 533429.
[2025-05-26 14:12:58.556370] [0x0000203c] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:12:58.556370] [0x0000203c] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:12:58.556370] [0x000024c8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 14:12:58.556370] [0x000024c8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:12:58.556370] [0x000024c8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:12:58.556370] [0x00000f34] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 14:12:58.556370] [0x00000f34] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:12:58.556370] [0x00000f34] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:12:58.556370] [0x0000122c] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 14:12:58.556370] [0x0000122c] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:12:58.556370] [0x0000122c] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:12:58.583178] [0x0000203c] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 533429, inner-wall width = 533429.
