--- STDOUT ---
[2025-05-25 20:03:18.694686] [0x00000304] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-25 20:03:18.694686] [0x00000304] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-25 20:03:18.694686] [0x00000304] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-25 20:03:18.694686] [0x00000a68] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-25 20:03:18.694686] [0x00000a68] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-25 20:03:18.694686] [0x00000a68] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-25 20:03:18.710312] [0x00000304] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-25 20:03:18.710312] [0x00000304] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-25 20:03:18.710312] [0x00000304] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-25 20:03:18.710312] [0x00000a68] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-25 20:03:18.710312] [0x00000a68] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-25 20:03:18.710312] [0x00000a68] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-25 20:03:18.711825] [0x00000304] [trace]   Generating perimeters for layer 3 - Done
[2025-05-25 20:03:18.711825] [0x00000304] [trace]   Generating perimeters for layer 4
[2025-05-25 20:03:18.711825] [0x00000304] [trace]   Generating perimeters for layer 4, region 0
[2025-05-25 20:03:18.711825] [0x00001b9c] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-25 20:03:18.711825] [0x00001b9c] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-25 20:03:18.711825] [0x00001b9c] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-25 20:03:18.711825] [0x00000304] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
