--- STDOUT ---
[2025-05-17 19:22:09.763733] [0x00000598] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:22:09.763733] [0x00000598] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:22:09.763733] [0x00000598] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:22:09.763733] [0x0000255c] [trace]   Generating perimeters for layer 90 - Done
[2025-05-17 19:22:09.763733] [0x0000255c] [trace]   Generating perimeters for layer 91
[2025-05-17 19:22:09.763733] [0x0000255c] [trace]   Generating perimeters for layer 91, region 0
[2025-05-17 19:22:09.763733] [0x0000255c] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:22:09.763733] [0x0000255c] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:22:09.763733] [0x0000255c] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:22:09.763733] [0x00002298] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:22:09.764730] [0x00002298] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:22:09.764730] [0x00002298] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:22:09.764730] [0x0000255c] [trace]   Generating perimeters for layer 91 - Done
[2025-05-17 19:22:09.764730] [0x0000255c] [trace]   Generating perimeters for layer 92
[2025-05-17 19:22:09.764730] [0x0000255c] [trace]   Generating perimeters for layer 92, region 0
[2025-05-17 19:22:09.764730] [0x0000255c] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:22:09.764730] [0x0000255c] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:22:09.764730] [0x0000255c] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:22:09.764730] [0x0000255c] [trace]   Generating perimeters for layer 92 - Done
[2025-05-17 19:22:09.764730] [0x0000255c] [trace]   Generating perimeters for layer 93
[2025-05-17 19:22:09.764730] [0x0000255c] [trace]   Generating perimeters for layer 93, region 0
[2025-05-17 19:22:09.764730] [0x0000255c] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:22:09.764730] [0x0000255c] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:22:09.764730] [0x0000255c] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:22:09.764730] [0x0000255c] [trace]   Generating perimeters for layer 93 - Done
[2025-05-17 19:22:09.764730] [0x0000255c] [trace]   Generating perimeters for layer 94
[2025-05-17 19:22:09.764730] [0x0000255c] [trace]   Generating perimeters for layer 94, region 0
[2025-05-17 19:22:09.765730] [0x0000255c] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:22:09.765730] [0x0000255c] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:22:09.765730] [0x0000255c] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:22:09.765730] [0x0000255c] [trace]   Generating perimeters for layer 94 - Done
[2025-05-17 19:22:09.765730] [0x0000255c] [trace]   Generating perimeters for layer 95
