--- STDOUT ---
[2025-05-21 16:07:07.087208] [0x0000154c] [debug]   TriangleMesh::repair() started
[2025-05-21 16:07:07.161118] [0x0000154c] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-21 16:07:07.161118] [0x0000154c] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-21 16:07:07.199378] [0x0000154c] [debug]   TriangleMesh::repair() finished
[2025-05-21 16:07:07.338427] [0x0000154c] [debug]   BuildVolume bed_shape clasified as: Rectangle
[2025-05-21 16:07:07.338427] [0x0000154c] [info]    Starting the slicing process. WorkingSet: 35MB; PrivateBytes: 26MB; Pagefile(peak): 26MB(51MB)
10 => Processing triangulated mesh
[2025-05-21 16:07:07.338427] [0x0000154c] [info]    Slicing volumes... WorkingSet: 35MB; PrivateBytes: 26MB; Pagefile(peak): 26MB(51MB)
[2025-05-21 16:07:07.338427] [0x0000154c] [debug]   slice_mesh to polygons
[2025-05-21 16:07:07.772827] [0x0000154c] [debug]   Slicing volumes - removing top empty layers
[2025-05-21 16:07:07.772827] [0x0000154c] [debug]   Slicing volumes - make_slices in parallel - begin
[2025-05-21 16:07:07.788451] [0x0000154c] [debug]   Slicing volumes - make_slices in parallel - end
20 => Generating perimeters
[2025-05-21 16:07:08.118187] [0x0000154c] [info]    Generating perimeters... WorkingSet: 75MB; PrivateBytes: 75MB; Pagefile(peak): 75MB(75MB)
[2025-05-21 16:07:08.118187] [0x0000154c] [debug]   Generating extra perimeters for region 0 in parallel - start
[2025-05-21 16:07:08.808615] [0x0000154c] [debug]   Generating extra perimeters for region 0 in parallel - end
[2025-05-21 16:07:08.808615] [0x0000154c] [debug]   Generating perimeters in parallel - start
[2025-05-21 16:07:08.808615] [0x0000154c] [trace]   Generating perimeters for layer 0
[2025-05-21 16:07:08.808615] [0x00002b60] [trace]   Generating perimeters for layer 29
[2025-05-21 16:07:08.808615] [0x00000f3c] [trace]   Generating perimeters for layer 58
[2025-05-21 16:07:08.808615] [0x00002730] [trace]   Generating perimeters for layer 43
