--- STDOUT ---
[2025-05-26 09:59:48.338352] [0x00002a44] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 09:59:48.338352] [0x000029bc] [trace]   Generating perimeters for layer 87 - Done
[2025-05-26 09:59:48.338352] [0x00002a44] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 09:59:48.338352] [0x000029bc] [trace]   Generating perimeters for layer 88
[2025-05-26 09:59:48.338352] [0x00002a44] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 09:59:48.338352] [0x000029bc] [trace]   Generating perimeters for layer 88, region 0
[2025-05-26 09:59:48.338352] [0x00001300] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 09:59:48.338352] [0x00001300] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 09:59:48.338352] [0x00001300] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 09:59:48.338352] [0x00002a44] [trace]   Generating perimeters for layer 152 - Done
[2025-05-26 09:59:48.338352] [0x000029bc] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 09:59:48.338352] [0x000029bc] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 09:59:48.338352] [0x000029bc] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 09:59:48.338352] [0x00002a44] [trace]   Generating perimeters for layer 153
[2025-05-26 09:59:48.338352] [0x00002a44] [trace]   Generating perimeters for layer 153, region 0
[2025-05-26 09:59:48.338352] [0x00001300] [trace]   Generating perimeters for layer 131 - Done
[2025-05-26 09:59:48.338352] [0x00001300] [trace]   Generating perimeters for layer 132
[2025-05-26 09:59:48.338352] [0x000029bc] [trace]   Generating perimeters for layer 88 - Done
[2025-05-26 09:59:48.338352] [0x00001300] [trace]   Generating perimeters for layer 132, region 0
[2025-05-26 09:59:48.338352] [0x000029bc] [trace]   Generating perimeters for layer 89
[2025-05-26 09:59:48.338352] [0x000029bc] [trace]   Generating perimeters for layer 89, region 0
[2025-05-26 09:59:48.339349] [0x00002a44] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 09:59:48.339349] [0x00002a44] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 09:59:48.339349] [0x00002a44] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 09:59:48.339349] [0x000029bc] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 09:59:48.339349] [0x000029bc] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 09:59:48.339349] [0x000029bc] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 09:59:48.339349] [0x00002a44] [trace]   Generating perimeters for layer 153 - Done
[2025-05-26 09:59:48.339349] [0x00002a44] [trace]   Generating perimeters for layer 154
[2025-05-26 09:59:48.339349] [0x00002a44] [trace]   Generating perimeters for layer 154, region 0
[2025-05-26 09:59:48.339349] [0x000029bc] [trace]   Generating perimeters for layer 89 - Done
[2025-05-26 09:59:48.339349] [0x000029bc] [trace]   Generating perimeters for layer 90
[2025-05-26 09:59:48.339349] [0x000029bc] [trace]   Generating perimeters for layer 90, region 0
[2025-05-26 09:59:48.339349] [0x00002a44] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 09:59:48.339349] [0x00002a44] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 09:59:48.339349] [0x00002a44] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 09:59:48.339349] [0x000029bc] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 09:59:48.339349] [0x000029bc] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 09:59:48.339349] [0x000029bc] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 09:59:48.339349] [0x00001300] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 09:59:48.339349] [0x00001300] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 09:59:48.339349] [0x00001300] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
