--- STDOUT ---
[2025-05-20 14:58:05.913075] [0x00001870] [debug]   TriangleMesh::repair() started
[2025-05-20 14:58:06.093680] [0x00001870] [debug]   TriangleMesh::repair() finished
[2025-05-20 14:58:06.217541] [0x00001870] [debug]   BuildVolume bed_shape clasified as: Rectangle
[2025-05-20 14:58:06.239785] [0x00001870] [info]    Starting the slicing process. WorkingSet: 42MB; PrivateBytes: 30MB; Pagefile(peak): 30MB(111MB)
10 => Processing triangulated mesh
[2025-05-20 14:58:06.239785] [0x00001870] [info]    Slicing volumes... WorkingSet: 42MB; PrivateBytes: 30MB; Pagefile(peak): 30MB(111MB)
[2025-05-20 14:58:06.241782] [0x00001870] [debug]   slice_mesh to polygons
[2025-05-20 14:58:09.256908] [0x00001870] [debug]   Slicing volumes - removing top empty layers
[2025-05-20 14:58:09.256908] [0x00001870] [debug]   Slicing volumes - make_slices in parallel - begin
[2025-05-20 14:58:09.295075] [0x00001870] [debug]   Slicing volumes - make_slices in parallel - end
20 => Generating perimeters
[2025-05-20 14:58:12.292106] [0x00001870] [info]    Generating perimeters... WorkingSet: 164MB; PrivateBytes: 167MB; Pagefile(peak): 167MB(328MB)
[2025-05-20 14:58:12.292106] [0x00001870] [debug]   Generating extra perimeters for region 0 in parallel - start
[2025-05-20 14:58:19.539585] [0x00001870] [debug]   Generating extra perimeters for region 0 in parallel - end
[2025-05-20 14:58:19.539585] [0x00001870] [debug]   Generating perimeters in parallel - start
[2025-05-20 14:58:19.539585] [0x00001870] [trace]   Generating perimeters for layer 0
[2025-05-20 14:58:19.539585] [0x000026f8] [trace]   Generating perimeters for layer 309
[2025-05-20 14:58:19.539585] [0x00001e18] [trace]   Generating perimeters for layer 206
[2025-05-20 14:58:19.539585] [0x000012b8] [trace]   Generating perimeters for layer 360
[2025-05-20 14:58:19.539585] [0x00001e18] [trace]   Generating perimeters for layer 206, region 0
[2025-05-20 14:58:19.539585] [0x000012b8] [trace]   Generating perimeters for layer 360, region 0
[2025-05-20 14:58:19.539585] [0x00001870] [trace]   Generating perimeters for layer 0, region 0
[2025-05-20 14:58:19.539585] [0x000026f8] [trace]   Generating perimeters for layer 309, region 0
[2025-05-20 14:58:19.539585] [0x000012b8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-20 14:58:19.539585] [0x000012b8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-20 14:58:19.539585] [0x000012b8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-20 14:58:19.539585] [0x00001870] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 533429, inner-wall width = 533429.
[2025-05-20 14:58:19.539585] [0x00001870] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-20 14:58:19.539585] [0x00001870] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-20 14:58:19.551102] [0x000026f8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-20 14:58:19.551102] [0x000026f8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-20 14:58:19.551102] [0x000026f8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-20 14:58:19.551102] [0x00001e18] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-20 14:58:19.551102] [0x00001e18] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-20 14:58:19.551102] [0x00001e18] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-20 14:58:19.557106] [0x000012b8] [trace]   Generating perimeters for layer 360 - Done
[2025-05-20 14:58:19.557106] [0x000012b8] [trace]   Generating perimeters for layer 361
[2025-05-20 14:58:19.557106] [0x000012b8] [trace]   Generating perimeters for layer 361, region 0
[2025-05-20 14:58:19.557106] [0x000012b8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-20 14:58:19.557106] [0x000012b8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-20 14:58:19.557106] [0x000012b8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-20 14:58:19.557106] [0x00001870] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 533429, inner-wall width = 533429.
[2025-05-20 14:58:19.557106] [0x00001870] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-20 14:58:19.557106] [0x00001870] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-20 14:58:19.588355] [0x000012b8] [trace]   Generating perimeters for layer 361 - Done
[2025-05-20 14:58:19.588355] [0x000012b8] [trace]   Generating perimeters for layer 362
[2025-05-20 14:58:19.588355] [0x000012b8] [trace]   Generating perimeters for layer 362, region 0
[2025-05-20 14:58:19.588355] [0x00001e18] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-20 14:58:19.588355] [0x00001e18] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-20 14:58:19.588355] [0x00001e18] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-20 14:58:19.588355] [0x000012b8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-20 14:58:19.588355] [0x000012b8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-20 14:58:19.588355] [0x000012b8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-20 14:58:19.588355] [0x00001870] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 533429, inner-wall width = 533429.
[2025-05-20 14:58:19.588355] [0x00001870] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-20 14:58:19.588355] [0x00001870] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-20 14:58:19.592868] [0x000026f8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-20 14:58:19.592868] [0x000026f8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-20 14:58:19.592868] [0x000026f8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-20 14:58:19.605898] [0x000012b8] [trace]   Generating perimeters for layer 362 - Done
[2025-05-20 14:58:19.605898] [0x000012b8] [trace]   Generating perimeters for layer 363
[2025-05-20 14:58:19.605898] [0x000012b8] [trace]   Generating perimeters for layer 363, region 0
[2025-05-20 14:58:19.605898] [0x000012b8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-20 14:58:19.605898] [0x00001870] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 533429, inner-wall width = 533429.
[2025-05-20 14:58:19.605898] [0x000012b8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-20 14:58:19.605898] [0x00001870] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-20 14:58:19.605898] [0x000012b8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-20 14:58:19.605898] [0x00001870] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-20 14:58:19.621523] [0x00001e18] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-20 14:58:19.621523] [0x00001e18] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-20 14:58:19.621523] [0x00001e18] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-20 14:58:19.621523] [0x000012b8] [trace]   Generating perimeters for layer 363 - Done
[2025-05-20 14:58:19.621523] [0x000012b8] [trace]   Generating perimeters for layer 364
[2025-05-20 14:58:19.621523] [0x000026f8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-20 14:58:19.621523] [0x000026f8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-20 14:58:19.621523] [0x000026f8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-20 14:58:19.621523] [0x000012b8] [trace]   Generating perimeters for layer 364, region 0
[2025-05-20 14:58:19.621523] [0x000012b8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
