--- STDOUT ---
[2025-05-17 19:10:19.009186] [0x000015e8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:10:19.009186] [0x000015e8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:10:19.009186] [0x00000bd8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:10:19.009186] [0x00000bd8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:10:19.010184] [0x00000bd8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:10:19.010184] [0x00000bd8] [trace]   Generating perimeters for layer 89 - Done
[2025-05-17 19:10:19.010184] [0x00000bd8] [trace]   Generating perimeters for layer 90
[2025-05-17 19:10:19.010184] [0x00000bd8] [trace]   Generating perimeters for layer 90, region 0
[2025-05-17 19:10:19.010184] [0x00000bd8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:10:19.010184] [0x00000bd8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:10:19.010184] [0x00000bd8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:10:19.010184] [0x00000bd8] [trace]   Generating perimeters for layer 90 - Done
[2025-05-17 19:10:19.011181] [0x00000bd8] [trace]   Generating perimeters for layer 91
[2025-05-17 19:10:19.011181] [0x00000bd8] [trace]   Generating perimeters for layer 91, region 0
[2025-05-17 19:10:19.011181] [0x00000bd8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:10:19.011181] [0x00000bd8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:10:19.011181] [0x00000bd8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:10:19.011181] [0x00000bd8] [trace]   Generating perimeters for layer 91 - Done
[2025-05-17 19:10:19.011181] [0x00000bd8] [trace]   Generating perimeters for layer 92
[2025-05-17 19:10:19.011181] [0x00000bd8] [trace]   Generating perimeters for layer 92, region 0
[2025-05-17 19:10:19.011181] [0x00000bd8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:10:19.012178] [0x00000bd8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:10:19.012178] [0x00000bd8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:10:19.012178] [0x00000bd8] [trace]   Generating perimeters for layer 92 - Done
[2025-05-17 19:10:19.012178] [0x00000bd8] [trace]   Generating perimeters for layer 93
[2025-05-17 19:10:19.012178] [0x00000bd8] [trace]   Generating perimeters for layer 93, region 0
[2025-05-17 19:10:19.012178] [0x0000299c] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:10:19.012178] [0x0000299c] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:10:19.012178] [0x0000299c] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:10:19.012178] [0x00001ee8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 533429, inner-wall width = 533429.
[2025-05-17 19:10:19.012178] [0x00001ee8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:10:19.012178] [0x00001ee8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:10:19.012178] [0x00000bd8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:10:19.012178] [0x00000bd8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:10:19.012178] [0x00000bd8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:10:19.012178] [0x00000bd8] [trace]   Generating perimeters for layer 93 - Done
[2025-05-17 19:10:19.012178] [0x00000bd8] [trace]   Generating perimeters for layer 94
[2025-05-17 19:10:19.012178] [0x00000bd8] [trace]   Generating perimeters for layer 94, region 0
[2025-05-17 19:10:19.013176] [0x00000bd8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:10:19.013176] [0x00000bd8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:10:19.013176] [0x00000bd8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:10:19.013176] [0x00000bd8] [trace]   Generating perimeters for layer 94 - Done
[2025-05-17 19:10:19.013176] [0x00000bd8] [trace]   Generating perimeters for layer 95
[2025-05-17 19:10:19.013176] [0x00000bd8] [trace]   Generating perimeters for layer 95, region 0
[2025-05-17 19:10:19.013176] [0x00000bd8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:10:19.013176] [0x00000bd8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:10:19.013176] [0x00000bd8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:10:19.013176] [0x00001ee8] [trace]   Generating perimeters for layer 0 - Done
[2025-05-17 19:10:19.013176] [0x00001ee8] [trace]   Generating perimeters for layer 1
[2025-05-17 19:10:19.013176] [0x00001ee8] [trace]   Generating perimeters for layer 1, region 0
[2025-05-17 19:10:19.013176] [0x00000bd8] [trace]   Generating perimeters for layer 95 - Done
[2025-05-17 19:10:19.013176] [0x00000bd8] [trace]   Generating perimeters for layer 96
[2025-05-17 19:10:19.013176] [0x00000bd8] [trace]   Generating perimeters for layer 96, region 0
[2025-05-17 19:10:19.013176] [0x00000bd8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:10:19.013176] [0x00000bd8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
