--- STDOUT ---
[2025-05-22 13:25:38.245222] [0x00002104] [trace]   Generating perimeters for layer 131 - Done
[2025-05-22 13:25:38.245222] [0x00002104] [trace]   Generating perimeters for layer 132
[2025-05-22 13:25:38.245222] [0x00000304] [trace]   Generating perimeters for layer 88 - Done
[2025-05-22 13:25:38.245222] [0x00000304] [trace]   Generating perimeters for layer 89
[2025-05-22 13:25:38.245222] [0x00000304] [trace]   Generating perimeters for layer 89, region 0
[2025-05-22 13:25:38.245222] [0x00002104] [trace]   Generating perimeters for layer 132, region 0
[2025-05-22 13:25:38.245222] [0x00000304] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:25:38.245222] [0x00000304] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:25:38.245222] [0x00000304] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:25:38.245222] [0x00002104] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:25:38.245222] [0x00000304] [trace]   Generating perimeters for layer 89 - Done
[2025-05-22 13:25:38.245222] [0x00000304] [trace]   Generating perimeters for layer 90
[2025-05-22 13:25:38.245222] [0x00000304] [trace]   Generating perimeters for layer 90, region 0
[2025-05-22 13:25:38.248078] [0x0000040c] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:25:38.248078] [0x0000040c] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:25:38.248078] [0x0000040c] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:25:38.248078] [0x00002104] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:25:38.248078] [0x00002104] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:25:38.248078] [0x00002104] [trace]   Generating perimeters for layer 132 - Done
[2025-05-22 13:25:38.248078] [0x00002104] [trace]   Generating perimeters for layer 133
[2025-05-22 13:25:38.248078] [0x00002104] [trace]   Generating perimeters for layer 133, region 0
[2025-05-22 13:25:38.248078] [0x00002104] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:25:38.248078] [0x00002104] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:25:38.248078] [0x00002104] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:25:38.248078] [0x00002104] [trace]   Generating perimeters for layer 133 - Done
[2025-05-22 13:25:38.250004] [0x00002104] [trace]   Generating perimeters for layer 134
[2025-05-22 13:25:38.250004] [0x00002104] [trace]   Generating perimeters for layer 134, region 0
[2025-05-22 13:25:38.250183] [0x00002104] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:25:38.250183] [0x00002104] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:25:38.250183] [0x00002104] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:25:38.250183] [0x00002104] [trace]   Generating perimeters for layer 134 - Done
[2025-05-22 13:25:38.250183] [0x00002104] [trace]   Generating perimeters for layer 135
[2025-05-22 13:25:38.250183] [0x00002104] [trace]   Generating perimeters for layer 135, region 0
[2025-05-22 13:25:38.250183] [0x00000304] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:25:38.250183] [0x00000304] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:25:38.250183] [0x00000304] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:25:38.250183] [0x00002104] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:25:38.250183] [0x00002104] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:25:38.250183] [0x00002104] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:25:38.250183] [0x00000304] [trace]   Generating perimeters for layer 90 - Done
[2025-05-22 13:25:38.250183] [0x00000304] [trace]   Generating perimeters for layer 91
[2025-05-22 13:25:38.250183] [0x00000304] [trace]   Generating perimeters for layer 91, region 0
[2025-05-22 13:25:38.251181] [0x00002104] [trace]   Generating perimeters for layer 135 - Done
[2025-05-22 13:25:38.251181] [0x00002104] [trace]   Generating perimeters for layer 136
[2025-05-22 13:25:38.251181] [0x00002104] [trace]   Generating perimeters for layer 136, region 0
[2025-05-22 13:25:38.251181] [0x00000304] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:25:38.251181] [0x00000304] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:25:38.251181] [0x00000304] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
