--- STDOUT ---
[2025-05-20 16:02:54.478551] [0x000006e0] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-20 16:02:54.478551] [0x000006e0] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-20 16:02:54.478551] [0x000006e0] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-20 16:02:54.494175] [0x00001f5c] [trace]   Generating perimeters for layer 1 - Done
[2025-05-20 16:02:54.494175] [0x00001f5c] [trace]   Generating perimeters for layer 2
[2025-05-20 16:02:54.494175] [0x00001f5c] [trace]   Generating perimeters for layer 2, region 0
[2025-05-20 16:02:54.504266] [0x00001f5c] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-20 16:02:54.504266] [0x00001f5c] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-20 16:02:54.504266] [0x00001f5c] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-20 16:02:54.539443] [0x000013dc] [trace]   Generating perimeters for layer 88 - Done
[2025-05-20 16:02:54.539443] [0x000013dc] [trace]   Generating perimeters for layer 89
[2025-05-20 16:02:54.539443] [0x000013dc] [trace]   Generating perimeters for layer 89, region 0
[2025-05-20 16:02:54.540443] [0x00002068] [trace]   Generating perimeters for layer 59 - Done
[2025-05-20 16:02:54.540443] [0x00002068] [trace]   Generating perimeters for layer 60
[2025-05-20 16:02:54.540443] [0x00002068] [trace]   Generating perimeters for layer 60, region 0
[2025-05-20 16:02:54.550013] [0x00002068] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-20 16:02:54.550013] [0x00002068] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-20 16:02:54.550013] [0x00002068] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-20 16:02:54.550013] [0x000013dc] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-20 16:02:54.550013] [0x000013dc] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-20 16:02:54.550013] [0x000013dc] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-20 16:02:54.550013] [0x00001f5c] [trace]   Generating perimeters for layer 2 - Done
[2025-05-20 16:02:54.550013] [0x00001f5c] [trace]   Generating perimeters for layer 3
[2025-05-20 16:02:54.550013] [0x00001f5c] [trace]   Generating perimeters for layer 3, region 0
[2025-05-20 16:02:54.565634] [0x000006e0] [trace]   Generating perimeters for layer 73 - Done
[2025-05-20 16:02:54.565634] [0x000006e0] [trace]   Generating perimeters for layer 74
[2025-05-20 16:02:54.565634] [0x000006e0] [trace]   Generating perimeters for layer 74, region 0
[2025-05-20 16:02:54.565634] [0x00001f5c] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-20 16:02:54.565634] [0x00001f5c] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-20 16:02:54.565634] [0x00001f5c] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-20 16:02:54.569143] [0x000006e0] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-20 16:02:54.569143] [0x000006e0] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-20 16:02:54.569143] [0x000006e0] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-20 16:02:54.615413] [0x00001f5c] [trace]   Generating perimeters for layer 3 - Done
[2025-05-20 16:02:54.615413] [0x00001f5c] [trace]   Generating perimeters for layer 4
[2025-05-20 16:02:54.615413] [0x00001f5c] [trace]   Generating perimeters for layer 4, region 0
[2025-05-20 16:02:54.615413] [0x00002068] [trace]   Generating perimeters for layer 60 - Done
[2025-05-20 16:02:54.615413] [0x00002068] [trace]   Generating perimeters for layer 61
