--- STDOUT ---
[2025-05-26 14:07:28.448749] [0x000009d0] [debug]   TriangleMesh::repair() started
[2025-05-26 14:07:28.709729] [0x000009d0] [debug]   TriangleMesh::repair() finished
[2025-05-26 14:07:28.894789] [0x000009d0] [debug]   BuildVolume bed_shape clasified as: Rectangle
[2025-05-26 14:07:28.909239] [0x000009d0] [info]    Starting the slicing process. WorkingSet: 42MB; PrivateBytes: 31MB; Pagefile(peak): 31MB(111MB)
10 => Processing triangulated mesh
[2025-05-26 14:07:28.909239] [0x000009d0] [info]    Slicing volumes... WorkingSet: 42MB; PrivateBytes: 31MB; Pagefile(peak): 31MB(111MB)
[2025-05-26 14:07:28.909239] [0x000009d0] [debug]   slice_mesh to polygons
[2025-05-26 14:07:32.336684] [0x000009d0] [debug]   Slicing volumes - removing top empty layers
[2025-05-26 14:07:32.336684] [0x000009d0] [debug]   Slicing volumes - make_slices in parallel - begin
[2025-05-26 14:07:32.383810] [0x000009d0] [debug]   Slicing volumes - make_slices in parallel - end
20 => Generating perimeters
[2025-05-26 14:07:35.672275] [0x000009d0] [info]    Generating perimeters... WorkingSet: 192MB; PrivateBytes: 195MB; Pagefile(peak): 195MB(328MB)
[2025-05-26 14:07:35.672275] [0x000009d0] [debug]   Generating extra perimeters for region 0 in parallel - start
[2025-05-26 14:07:43.632202] [0x000009d0] [debug]   Generating extra perimeters for region 0 in parallel - end
[2025-05-26 14:07:43.632202] [0x000009d0] [debug]   Generating perimeters in parallel - start
[2025-05-26 14:07:43.632202] [0x000009d0] [trace]   Generating perimeters for layer 0
[2025-05-26 14:07:43.632202] [0x000008b8] [trace]   Generating perimeters for layer 206
[2025-05-26 14:07:43.632202] [0x000022a8] [trace]   Generating perimeters for layer 309
[2025-05-26 14:07:43.632202] [0x000017bc] [trace]   Generating perimeters for layer 103
[2025-05-26 14:07:43.632202] [0x000009d0] [trace]   Generating perimeters for layer 0, region 0
[2025-05-26 14:07:43.632202] [0x000008b8] [trace]   Generating perimeters for layer 206, region 0
[2025-05-26 14:07:43.632202] [0x000022a8] [trace]   Generating perimeters for layer 309, region 0
[2025-05-26 14:07:43.632202] [0x000017bc] [trace]   Generating perimeters for layer 103, region 0
[2025-05-26 14:07:43.640965] [0x000009d0] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 533429, inner-wall width = 533429.
[2025-05-26 14:07:43.640965] [0x000009d0] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:07:43.640965] [0x000009d0] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:07:43.640965] [0x000008b8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 14:07:43.640965] [0x000008b8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:07:43.640965] [0x000008b8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:07:43.640965] [0x000017bc] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 14:07:43.640965] [0x000017bc] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:07:43.640965] [0x000017bc] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:07:43.640965] [0x000022a8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 14:07:43.640965] [0x000022a8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:07:43.640965] [0x000022a8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:07:43.667891] [0x000009d0] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 533429, inner-wall width = 533429.
[2025-05-26 14:07:43.667891] [0x000009d0] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:07:43.667891] [0x000009d0] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:07:43.680978] [0x000008b8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 14:07:43.680978] [0x000008b8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:07:43.680978] [0x000008b8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:07:43.680978] [0x000017bc] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 14:07:43.680978] [0x000017bc] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:07:43.680978] [0x000017bc] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:07:43.680978] [0x000009d0] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 533429, inner-wall width = 533429.
[2025-05-26 14:07:43.680978] [0x000009d0] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:07:43.680978] [0x000009d0] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:07:43.696314] [0x000022a8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 14:07:43.696314] [0x000022a8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:07:43.696314] [0x000022a8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:07:43.707652] [0x000009d0] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 533429, inner-wall width = 533429.
[2025-05-26 14:07:43.707652] [0x000009d0] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:07:43.707652] [0x000009d0] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:07:43.725257] [0x000017bc] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 14:07:43.725257] [0x000017bc] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:07:43.725257] [0x000017bc] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:07:43.725257] [0x000008b8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 14:07:43.725257] [0x000008b8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:07:43.725257] [0x000008b8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:07:43.740322] [0x000009d0] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 533429, inner-wall width = 533429.
[2025-05-26 14:07:43.740322] [0x000009d0] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:07:43.740322] [0x000009d0] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:07:43.748170] [0x000022a8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
